[2025-12-08 01:12:34] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 18, IP: ::1
[2025-12-08 01:12:34] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 18, IP: ::1
[2025-12-08 01:12:38] SUCCESS - Instructor ID: 1, Action: view_report, Submission ID: 18, IP: ::1
[2025-12-08 01:12:43] SUCCESS - Instructor ID: 1, Action: download_report, Submission ID: 18, IP: ::1
[2025-12-08 01:12:45] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 18, IP: ::1
[2025-12-08 01:12:45] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 18, IP: ::1
[2025-12-08 01:12:54] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 18, IP: ::1
[2025-12-08 01:12:54] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 18, IP: ::1
[2025-12-08 01:30:28] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 19, IP: ::1
[2025-12-08 01:30:28] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 19, IP: ::1
[2025-12-08 13:01:26] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 21, IP: ::1
[2025-12-08 13:01:26] SUCCESS - Instructor ID: 1, Action: accept, Submission ID: 21, IP: ::1
[2025-12-08 13:02:28] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 22, IP: ::1
[2025-12-08 13:02:28] SUCCESS - Instructor ID: 1, Action: reject, Submission ID: 22, IP: ::1
[2025-12-08 13:02:36] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 21, IP: ::1
[2025-12-08 13:02:36] SUCCESS - Instructor ID: 1, Action: delete, Submission ID: 21, IP: ::1
[2025-12-08 13:02:40] SUCCESS - Instructor ID: 1, Action: restore, Submission ID: 21, IP: ::1
[2025-12-08 13:02:40] SUCCESS - Instructor ID: 1, Action: restore, Submission ID: 21, IP: ::1
[2025-12-08 13:03:34] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 23, IP: ::1
[2025-12-08 13:03:34] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 23, IP: ::1
[2025-12-08 14:34:39] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 29, IP: ::1
[2025-12-08 14:34:39] SUCCESS - Instructor ID: 1, Action: add_feedback, Submission ID: 29, IP: ::1
[2025-12-08 16:10:41] SUCCESS - Instructor ID: 6, Action: reject, Submission ID: 32, IP: ::1
[2025-12-08 16:10:41] SUCCESS - Instructor ID: 6, Action: reject, Submission ID: 32, IP: ::1
[2025-12-08 20:21:34] SUCCESS - Instructor ID: 11, Action: add_feedback, Submission ID: 43, IP: ::1
[2025-12-08 20:21:34] SUCCESS - Instructor ID: 11, Action: add_feedback, Submission ID: 43, IP: ::1
[2025-12-08 20:24:00] SUCCESS - Instructor ID: 11, Action: add_feedback, Submission ID: 42, IP: ::1
[2025-12-08 20:24:00] SUCCESS - Instructor ID: 11, Action: add_feedback, Submission ID: 42, IP: ::1
[2025-12-09 23:47:51] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 16, IP: ::1
[2025-12-09 23:47:51] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 16, IP: ::1
[2025-12-09 23:47:53] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 16, IP: ::1
[2025-12-09 23:47:53] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 16, IP: ::1
[2025-12-09 23:50:21] SUCCESS - Instructor ID: 3, Action: reject, Submission ID: 17, IP: ::1
[2025-12-09 23:50:21] SUCCESS - Instructor ID: 3, Action: reject, Submission ID: 17, IP: ::1
[2025-12-09 23:50:31] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 17, IP: ::1
[2025-12-09 23:50:31] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 17, IP: ::1
[2025-12-10 00:17:12] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 20, IP: ::1
[2025-12-10 00:17:12] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 20, IP: ::1
[2025-12-10 00:17:23] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 20, IP: ::1
[2025-12-10 00:17:23] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 20, IP: ::1
[2025-12-10 00:34:51] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 20, IP: ::1
[2025-12-10 00:34:51] SUCCESS - Instructor ID: 3, Action: add_feedback, Submission ID: 20, IP: ::1
[2025-12-10 00:34:55] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 20, IP: ::1
[2025-12-10 00:34:55] SUCCESS - Instructor ID: 3, Action: accept, Submission ID: 20, IP: ::1
